,NGamma,MGamma,TGamma,NTheta,MTheta,TTheta,
0,9950310,1,1.00E-09,122,29,0.016801544,
1,7071624,1,8.28E-08,47,20,0.042733025,
2,9158466,1,1.84E-08,61,28,0.031456324,
3,4151442,1,2.82E-07,29,20,0.066536838,
4,7208827,1,7.74E-08,523,31,0.003924533,
5,3440586,1,3.81E-07,16,23,0.11106844,
6,2733130,1,5.31E-07,436,22,0.004600662,
7,5248306,1,1.81E-07,29,22,0.072915557,
8,8242779,1,4.26E-08,50,23,0.044588485,
9,7684884,1,6.03E-08,240,18,0.00877888,
10,7790117,1,5.68E-08,60,28,0.034282043,
11,9209878,1,1.72E-08,39,20,0.052002433,
12,6527351,1,1.06E-07,97,18,0.019981704,
13,7564076,1,6.44E-08,34,31,0.046052097,
14,3763280,1,3.31E-07,19,22,0.125503508,
15,9362467,1,1.36E-08,120,21,0.01568511,
16,8875856,1,2.53E-08,80,19,0.025621286,
17,7748116,1,5.81E-08,177,29,0.011745681,
18,2961379,1,4.75E-07,131,30,0.01525706,
19,7404230,1,7.01E-08,40,24,0.048468982,
20,2693105,1,5.42E-07,23,14,0.088714282,
21,9718651,1,5.79E-09,67,20,0.029825792,
22,3251937,1,4.15E-07,361,18,0.005292583,
23,4320185,1,2.63E-07,167,24,0.011830707,
24,5705581,1,1.51E-07,26,15,0.078784471,
25,9530175,1,9.85E-09,30,24,0.057889784,
26,7200379,1,7.78E-08,274,20,0.007325846,
27,2914478,1,4.86E-07,33,25,0.061971733,
28,9958115,1,8.39E-10,25,24,0.088548855,
29,8815890,1,2.69E-08,9659,17,0.000206779,
30,4103645,1,2.88E-07,58,32,0.034165054,
31,8956203,1,2.33E-08,117,16,0.01755581,
32,8747663,1,2.87E-08,84,26,0.022524913,
33,9721156,1,5.74E-09,90,19,0.020909041,
34,9478259,1,1.10E-08,193,15,0.009927626,
35,9843034,1,3.18E-09,52,21,0.035812933,
36,3078316,1,4.50E-07,7,14,0.353882388,
37,8750559,1,2.85E-08,29,25,0.064091373,
38,9167217,1,1.82E-08,98,30,0.021430302,
39,6182726,1,1.24E-07,176,29,0.011209307,
40,8903318,1,2.46E-08,62,21,0.031983637,
41,6290902,1,1.18E-07,602,13,0.003403273,
42,6906896,1,8.95E-08,139,32,0.014791666,
43,3755726,1,3.33E-07,48,16,0.041322453,
44,9804673,1,3.98E-09,151,16,0.013022961,
45,9828613,1,3.49E-09,161,20,0.01322369,
46,7775729,1,5.72E-08,40,21,0.046813996,
47,1811157,1,9.04E-07,68,18,0.02712768,
48,9316028,1,1.47E-08,124,23,0.017593857,
49,5999459,1,1.33E-07,45,25,0.041673364,
50,4733690,1,2.22E-07,16,28,0.120921225,
51,2299182,1,6.69E-07,100,14,0.018728532,
52,9155107,1,1.85E-08,28,18,0.066706744,
53,7254223,1,7.57E-08,815,19,0.002544948,
54,8296722,1,4.11E-08,83,26,0.025142938,
55,6978858,1,8.66E-08,186,23,0.010863521,
56,4486276,1,2.46E-07,24,22,0.072578895,
57,9055157,1,2.08E-08,108,22,0.018052069,
58,3926149,1,3.10E-07,30,31,0.091645627,
59,1752588,1,9.41E-07,44,18,0.046927323,
60,8732404,1,2.90E-08,395,16,0.005178044,
61,6220823,1,1.22E-07,782,11,0.002514925,
62,9643555,1,7.37E-09,56,25,0.038869453,
63,8705069,1,2.98E-08,59,24,0.034562983,
64,6144490,1,1.26E-07,53,24,0.04449888,
65,4570380,1,2.38E-07,17,20,0.113389953,
66,7566359,1,6.43E-08,135,20,0.014086555,
67,8310339,1,4.07E-08,100,21,0.019468339,
68,4528798,1,2.42E-07,104,20,0.019681723,
69,8848743,1,2.60E-08,551,20,0.003637244,
70,7523047,1,6.58E-08,33,30,0.05491666,
71,5756836,1,1.47E-07,172,24,0.01186698,
72,9514948,1,1.02E-08,51,17,0.04279162,
73,8530991,1,3.44E-08,647,18,0.003072035,
74,4767959,1,2.19E-07,25,27,0.090921422,
75,7588455,1,6.36E-08,121,28,0.015519002,
76,9592392,1,8.50E-09,14,24,0.126011184,
77,2958892,1,4.76E-07,99,26,0.02221713,
78,9633827,1,7.61E-09,67,27,0.030780221,
79,8431127,1,3.72E-08,56,31,0.035635459,
80,7319206,1,7.33E-08,30,22,0.068777307,
81,5761816,1,1.47E-07,76,24,0.023597005,
82,4981442,1,2.01E-07,78,23,0.029007018,
83,9436643,1,1.19E-08,283,24,0.007028942,
84,9670315,1,6.78E-09,126,14,0.015394899,
85,3332009,1,4.01E-07,33,22,0.059730918,
86,8359802,1,3.92E-08,216,21,0.009205949,
87,5564938,1,1.59E-07,10,21,0.156714546,
88,5243651,1,1.81E-07,344,24,0.006112841,
89,2686339,1,5.45E-07,19,19,0.108074512,
90,6039884,1,1.31E-07,23,14,0.081914375,
91,9420546,1,1.23E-08,129,23,0.016200419,
92,6501838,1,1.08E-07,37,22,0.058851115,
93,4388591,1,2.56E-07,198,26,0.01060803,
94,5093517,1,1.93E-07,64,19,0.031148879,
95,7373495,1,7.12E-08,38,24,0.053979131,
96,6901378,1,8.98E-08,93,19,0.020101645,
97,9404203,1,1.27E-08,47,21,0.043495537,
98,6859651,1,9.16E-08,146,19,0.014849172,
99,9635240,1,7.60E-09,146,23,0.01459622,
100,9423098,1,1.22E-08,55,18,0.033083898,
