,NGamma,MGamma,TGamma,NTheta,MTheta,TTheta,,
0,883563,1,2.65E-07,111,16,0.017883282,,
1,525823,1,1.80E-06,85,19,0.02484473,,
2,499522,1,2.00E-06,7,21,0.317298437,,
3,671836,1,9.77E-07,45,16,0.045018079,,
4,730648,1,7.38E-07,211,16,0.008686167,,
5,445895,1,2.49E-06,32,16,0.064764646,,
6,722767,1,7.68E-07,46,25,0.039582615,,
7,961195,1,8.07E-08,80,19,0.025850625,,
8,370845,1,3.39E-06,124,16,0.015796257,,
9,402912,1,2.96E-06,22,13,0.076955326,,
10,869470,1,3.01E-07,15,23,0.157952258,,
11,778787,1,5.69E-07,29,18,0.078474069,,
12,311159,1,4.43E-06,77,19,0.026359,,
13,975688,1,4.93E-08,46,29,0.048055234,,
14,981845,1,3.69E-08,17,22,0.103054637,,
15,695725,1,8.74E-07,101,19,0.02018288,,
16,431997,1,2.63E-06,39,15,0.045094908,,
17,219633,1,7.12E-06,70,13,0.030647955,,
18,657451,1,1.04E-06,23,18,0.094931737,,
19,452589,1,2.42E-06,174,16,0.011379712,,
20,824923,1,4.25E-07,8,18,0.251496678,,
21,186525,1,8.71E-06,26,17,0.072643503,,
22,868258,1,3.03E-07,30,21,0.059920268,,
23,557178,1,1.59E-06,95,15,0.023729108,,
24,494546,1,2.04E-06,19,20,0.110916185,,
25,244228,1,6.18E-06,13,13,0.171208209,,
26,893358,1,2.40E-07,44,18,0.044041646,,
27,858137,1,3.30E-07,29,25,0.071053391,,
28,959504,1,8.47E-08,78,21,0.029903928,,
29,271237,1,5.38E-06,76,16,0.028273502,,
30,734669,1,7.24E-07,53,19,0.036887369,,
31,690429,1,8.97E-07,79,17,0.027889075,,
32,548268,1,1.65E-06,63,21,0.031582463,,
33,163317,1,1.03E-05,47,15,0.037417466,,
34,519408,1,1.85E-06,22,25,0.117742559,,
35,817064,1,4.48E-07,54,16,0.041330385,,
36,617801,1,1.24E-06,95,19,0.020246147,,
37,930660,1,1.48E-07,32,21,0.055621396,,
38,891059,1,2.45E-07,100,22,0.018767134,,
39,663776,1,1.02E-06,25,18,0.087827892,,
40,852057,1,3.48E-07,55,18,0.038247612,,
41,481892,1,2.15E-06,35,13,0.059624603,,
42,808763,1,4.71E-07,148,19,0.014495881,,
43,944026,1,1.19E-07,40,18,0.062172698,,
44,370342,1,3.40E-06,123,25,0.016986969,,
45,908974,1,2.01E-07,34,18,0.056826,,
46,921450,1,1.70E-07,217,18,0.009128021,,
47,565791,1,1.54E-06,58,25,0.033938612,,
48,909212,1,2.00E-07,152,18,0.013888491,,
49,490577,1,2.07E-06,56,20,0.032036419,,
50,492183,1,2.06E-06,26441,9,7.34E-05,,
51,209786,1,7.53E-06,242,13,0.008438726,,
52,937748,1,1.33E-07,466,19,0.004147902,,
53,674393,1,9.65E-07,26,13,0.084456591,,
54,666336,1,1.00E-06,65,17,0.027188974,,
55,841528,1,3.77E-07,46,23,0.0454386,,
56,856535,1,3.35E-07,71,19,0.026898075,,
57,495513,1,2.04E-06,9,19,0.212872081,,
