,NGamma,MGamma,TGamma,NTheta,MTheta,TTheta,NSigma,MSigma,TSigma
0,2340,1,0.0004561533754167728,21,14,0.08803086440480769,1,0,10.58360305602128
1,2091,1,0.0005706992787425318,14,12,0.13286212133093916,1,0,17.097157530818922
2,1270,1,0.0011476098281121558,33,5,0.06511038383453681,1,0,12.445410693224328
3,3709,1,0.0001422819305730885,44,17,0.04509638000958358,1,0,10.222795356831766
4,4859,1,1.11500135983725e-05,24,12,0.09699205892791717,1,0,4.012793486226961
5,975,1,0.0016203450168978896,12,12,0.16210141969108086,1,0,12.160724411479109
6,865,1,0.0019093381653138629,83,4,0.024610200437296646,1,0,6.850100233423321
7,3706,1,0.00014291383273841394,26,7,0.06764486829659228,1,0,9.41819555753969
8,4853,1,1.3561132017539466e-05,11,15,0.21173021553495133,1,0,13.291099127760035
9,3982,1,0.00010415579315640139,78,8,0.026581722868823206,1,0,14.517706995779717
10,4846,1,1.1121047784149397e-05,23,8,0.06652177244669848,1,0,12.19089472161531
11,3116,1,0.00023624118800144296,11,12,0.19481013489415108,1,0,6.218827469244668
12,4247,1,6.880728402296406e-05,20,12,0.11284928435558486,1,0,6.751266461035458
13,4435,1,4.9851730697078217e-05,14,9,0.11220260108654619,1,0,4.962637594400496
14,1281,1,0.0012138358451145713,15,8,0.10648115701591068,1,0,19.971184181057378
15,4114,1,8.477594050127507e-05,15,11,0.11889342098731148,1,0,8.139056192971141
16,2409,1,0.00042238936361793596,44,10,0.045375557330325736,1,0,21.316202912311905
17,4723,1,2.231118232928164e-05,20,11,0.09889513491676313,1,0,14.77749221071759
18,4129,1,8.316873296689287e-05,25,9,0.08856149682812717,1,0,5.6573084262165585
19,4740,1,2.094320597521846e-05,5,14,0.29964702539193894,1,0,7.470848926293535
20,2178,1,0.0005075985835704535,67,4,0.03101111837934484,1,0,12.542961161980804
21,4859,1,1.1552564164988352e-05,10,8,0.19045938488439373,1,0,11.549356769168606
22,2352,1,0.000448463003758612,31,16,0.06397614673321632,1,0,8.29937964559521
23,3589,1,0.00015177043210770838,8,8,0.3668324113271465,1,0,9.499135751169707
24,2090,1,0.000550999926301188,5,8,0.3635966137382035,1,0,3.9942495394407103
25,4044,1,9.377476426136962e-05,19,19,0.09609625733061768,1,0,21.556989917780268
26,2955,1,0.00027673893320843436,11,9,0.23990759995766514,1,0,14.663214903098558
27,3785,1,0.00012394711771297198,54,6,0.037132337907904205,1,0,3.8180887837912545
